,,Genre,1900,1910,1920,1930,1940,1950,1960,1970,1980,1990,2000,2010
count_nonzero,Title,action,0.0,0.0,2.0,16.0,9.0,15.0,24.0,82.0,157.0,242.0,268.0,282.0
count_nonzero,Title,action comedy,0.0,0.0,0.0,0.0,2.0,0.0,1.0,5.0,6.0,19.0,20.0,35.0
count_nonzero,Title,action drama,0.0,0.0,0.0,0.0,0.0,3.0,0.0,2.0,1.0,1.0,2.0,27.0
count_nonzero,Title,action thriller,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,2.0,18.0,51.0
count_nonzero,Title,"action, drama",0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,10.0,12.0,9.0,13.0
count_nonzero,Title,"action, romance",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,10.0,7.0,26.0
count_nonzero,Title,"action, thriller",0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,11.0,2.0,14.0,15.0
count_nonzero,Title,adventure,1.0,10.0,23.0,43.0,84.0,164.0,55.0,35.0,33.0,29.0,38.0,10.0
count_nonzero,Title,animated,0.0,0.0,0.0,2.0,54.0,23.0,19.0,8.0,26.0,46.0,9.0,8.0
count_nonzero,Title,animated short,0.0,0.0,0.0,0.0,61.0,22.0,4.0,0.0,1.0,1.0,2.0,0.0
count_nonzero,Title,animation,0.0,0.0,0.0,1.0,15.0,94.0,5.0,7.0,22.0,10.0,94.0,16.0
count_nonzero,Title,anime,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,2.0,16.0,24.0,67.0
count_nonzero,Title,biography,0.0,2.0,1.0,13.0,21.0,36.0,15.0,17.0,30.0,50.0,44.0,10.0
count_nonzero,Title,"biography, drama",0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,3.0,7.0,14.0,10.0
count_nonzero,Title,black comedy,0.0,0.0,0.0,0.0,2.0,1.0,2.0,6.0,4.0,9.0,12.0,16.0
count_nonzero,Title,comedy,4.0,66.0,121.0,469.0,479.0,400.0,352.0,225.0,482.0,587.0,698.0,495.0
count_nonzero,Title,comedy drama,0.0,9.0,16.0,95.0,9.0,15.0,14.0,21.0,33.0,52.0,138.0,136.0
count_nonzero,Title,comedy short,0.0,4.0,4.0,9.0,29.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0
count_nonzero,Title,"comedy, family",0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,5.0,16.0,10.0
count_nonzero,Title,crime,0.0,1.0,20.0,93.0,86.0,158.0,59.0,28.0,21.0,38.0,40.0,24.0
count_nonzero,Title,crime comedy,0.0,0.0,2.0,2.0,8.0,1.0,4.0,6.0,6.0,5.0,10.0,3.0
count_nonzero,Title,crime drama,0.0,5.0,6.0,73.0,36.0,36.0,37.0,47.0,63.0,85.0,120.0,20.0
count_nonzero,Title,crime thriller,0.0,0.0,1.0,4.0,2.0,3.0,1.0,0.0,2.0,0.0,15.0,28.0
count_nonzero,Title,documentary,0.0,0.0,1.0,4.0,7.0,0.0,1.0,1.0,6.0,4.0,31.0,18.0
count_nonzero,Title,drama,6.0,99.0,222.0,571.0,560.0,643.0,478.0,417.0,527.0,761.0,835.0,840.0
count_nonzero,Title,drama romance,0.0,2.0,8.0,31.0,20.0,10.0,16.0,1.0,5.0,45.0,48.0,102.0
